DATE,sp500
2021-01-01,
2021-01-04,3700.65
2021-01-05,3726.86
2021-01-06,3748.14
2021-01-07,3803.79
2021-01-08,3824.68
2021-01-11,3799.61
2021-01-12,3801.19
2021-01-13,3809.84
2021-01-14,3795.54
2021-01-15,3768.25
2021-01-18,
2021-01-19,3798.91
2021-01-20,3851.85
2021-01-21,3853.07
2021-01-22,3841.47
2021-01-25,3855.36
2021-01-26,3849.62
2021-01-27,3750.77
2021-01-28,3787.38
2021-01-29,3714.24
2021-02-01,3773.86
2021-02-02,3826.31
2021-02-03,3830.17
2021-02-04,3871.74
2021-02-05,3886.83
2021-02-08,3915.59
2021-02-09,3911.23
2021-02-10,3909.88
2021-02-11,3916.38
2021-02-12,3934.83
2021-02-15,
2021-02-16,3932.59
2021-02-17,3931.33
2021-02-18,3913.97
2021-02-19,3906.71
2021-02-22,3876.5
2021-02-23,3881.37
2021-02-24,3925.43
2021-02-25,3829.34
2021-02-26,3811.15
2021-03-01,3901.82
2021-03-02,3870.29
2021-03-03,3819.72
2021-03-04,3768.47
2021-03-05,3841.94
2021-03-08,3821.35
2021-03-09,3875.44
2021-03-10,3898.81
2021-03-11,3939.34
2021-03-12,3943.34
2021-03-15,3968.94
2021-03-16,3962.71
2021-03-17,3974.12
2021-03-18,3915.46
2021-03-19,3913.1
2021-03-22,3940.59
2021-03-23,3910.52
2021-03-24,3889.14
2021-03-25,3909.52
2021-03-26,3974.54
2021-03-29,3971.09
2021-03-30,3958.55
2021-03-31,3972.89
2021-04-01,4019.87
2021-04-02,
2021-04-05,4077.91
2021-04-06,4073.94
2021-04-07,4079.95
2021-04-08,4097.17
2021-04-09,4128.8
2021-04-12,4127.99
2021-04-13,4141.59
2021-04-14,4124.66
2021-04-15,4170.42
2021-04-16,4185.47
2021-04-19,4163.26
2021-04-20,4134.94
2021-04-21,4173.42
2021-04-22,4134.98
2021-04-23,4180.17
2021-04-26,4187.62
2021-04-27,4186.72
2021-04-28,4183.18
2021-04-29,4211.47
2021-04-30,4181.17
2021-05-03,4192.66
2021-05-04,4164.66
2021-05-05,4167.59
2021-05-06,4201.62
2021-05-07,4232.6
2021-05-10,4188.43
2021-05-11,4152.1
2021-05-12,4063.04
2021-05-13,4112.5
2021-05-14,4173.85
2021-05-17,4163.29
2021-05-18,4127.83
2021-05-19,4115.68
2021-05-20,4159.12
2021-05-21,4155.86
2021-05-24,4197.05
2021-05-25,4188.13
2021-05-26,4195.99
2021-05-27,4200.88
2021-05-28,4204.11
2021-05-31,
2021-06-01,4202.04
2021-06-02,4208.12
2021-06-03,4192.85
2021-06-04,4229.89
2021-06-07,4226.52
2021-06-08,4227.26
2021-06-09,4219.55
2021-06-10,4239.18
2021-06-11,4247.44
2021-06-14,4255.15
2021-06-15,4246.59
2021-06-16,4223.7
2021-06-17,4221.86
2021-06-18,4166.45
2021-06-21,4224.79
2021-06-22,4246.44
2021-06-23,4241.84
2021-06-24,4266.49
2021-06-25,4280.7
2021-06-28,4290.61
2021-06-29,4291.8
2021-06-30,4297.5
2021-07-01,4319.94
2021-07-02,4352.34
2021-07-05,
2021-07-06,4343.54
2021-07-07,4358.13
2021-07-08,4320.82
2021-07-09,4369.55
2021-07-12,4384.63
2021-07-13,4369.21
2021-07-14,4374.3
2021-07-15,4360.03
2021-07-16,4327.16
2021-07-19,4258.49
2021-07-20,4323.06
2021-07-21,4358.69
2021-07-22,4367.48
2021-07-23,4411.79
2021-07-26,4422.3
2021-07-27,4401.46
2021-07-28,4400.64
2021-07-29,4419.15
2021-07-30,4395.26
